Incident Number,Prefix,Incident Title,Incident Description,Incident Resolution,Resolution Team,Status,Status Update Date,Reported By,Institution,Institution Name,Reported Date,Location,Affected Person Department,Resolution Code,Source,Application Priority,Close Date
IN6651502,PENDING USER DECISION, (National Billing System ) (Unable to login),"When verifying mcaf-m in NBS, the system confirms the entry, but it does not appear in the interim bill. Steps to reproduce include navigating to the billing section, verifying mcaf-m, and checking the interim bill. The issue affects multiple users in the billing department, causing delays. The expected outcome is for verified mcaf-m to reflect in the interim bill, but it remains missing, leading to incomplete billing information.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",UAM_ALL,INPROG,8/22/25 8:49 AM,USER56,TTSH,Tan Tock Seng Hospital,9/15/24 10:53 AM,TTSH,NCID - NCID Nursing,,PHONECALL,3,
IN2857296,PENDING USER DECISION, BS staging environment not able to access. Logon (devhealthgrp.com.sg),"When attempting to tag the GPfirst insurance code [SR] in the billing system, an error message appears stating 'Tagging Failed.' The issue occurs when selecting the insurance code from the dropdown menu and clicking 'Apply.' The expected outcome is the code being successfully tagged and saved, but instead, the system returns an error. This issue affects multiple users and prevents accurate insurance billing.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",UAM_ALL,RESOLVED,8/28/25 2:32 PM,USER38,NNI,National Neuroscience Institute,9/25/24 10:43 AM,NNI_NNIBLK_L03_FIN-NNI,,HD_RESOLVABLE,SELFSERVICE,3,
IN8134976,, EMAIL - [For Action] [NBS/eFC device preparation] TTSH eForms Topaz Driver Installation Exercise>,"When attempting to switch between patient records in the NBS system, the context switch feature becomes unresponsive. Users have reported that after selecting a different patient or billing screen, the system freezes or fails to load the new context. The issue affects multiple users across different departments, leading to delays in processing billing requests. The expected outcome is seamless navigation between records, but the actual result is a system hang requiring manual restart.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",LEADS_ALL,QUEUED,2/11/2025 15:51,USER60,TTSH,Tan Tock Seng Hospital,2/11/2025 15:51,TTSH,Fin - Business Office,,EMAIL,3,
IN4440210,, (NBS) (Unable to login),"When attempting to sign forms in eFORM through NBS, an error message is displayed, preventing successful form submission. The issue occurs after selecting 'Submit' following form completion. Multiple users across departments have encountered this problem. The expected outcome is a confirmation of form submission, but the actual result is an error message, causing delays in form processing.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",LEADS_ALL,QUEUED,2/19/25 12:18 PM,USER58,TTSH,Tan Tock Seng Hospital,2/19/25 12:18 PM,TTSH,Amb - Radiography Service,,PHONECALL,2,
IN5596780,, test login failed before nbs goes live,"When attempting to retrieve the R005 Charge Interface Error Report, users have noticed that the report is being generated and sent outside of the expected timeframe. The issue affects multiple departments relying on timely report availability. The expected outcome is to receive the report during designated business hours, but it is currently being sent at inconvenient times, causing delays in addressing charge interface errors.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",LEADS_ALL,QUEUED,5/29/25 4:16 PM,USER51,TTSH,Tan Tock Seng Hospital,5/29/25 4:16 PM,TTSH,AO - Clinical Ops (Medicine) - Clinic,,PHONECALL,3,
IN5001333,, Unable to login,"When attempting to retrieve billable events using CSN Nos. 100224307872, 100246462562, 100249238046, and 100250618992 in Manage Billable Events, the system fails to display the events. Steps: 1) Log in, 2) Navigate to Manage Billable Events, 3) Enter CSN numbers, 4) Click search. Actual outcome: Events not shown; error message appears. Expected outcome: Events should display with details. Issue affects multiple users, causing reporting delays.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",LEADS_ALL,QUEUED,6/6/2025 15:25,USER70,TTSH,Tan Tock Seng Hospital,6/6/2025 15:24,TTSH,OPS (Eye),,PHONECALL,3,
IN5811212,, unable to login,"When attempting to process transactions at ED Counter 10, the UPOS command bridge was found not set up for both workstations. Users expected the system to automatically connect to the UPOS bridge for payment processing, but the connection is missing. This issue affects multiple users at the counter, leading to failed transactions. The expected outcome was seamless integration, but the system currently cannot process payments due to the missing setup.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",UAM_ALL,RESOLVED,8/29/25 9:51 PM,USER14,TTSH,Tan Tock Seng Hospital,6/26/25 10:32 AM,TTSH_ICH_B02_ICH PHAR STORE,"PH - Procurement, Supply & Manufacturing",NO ACTION TAKEN,EMAIL,3,
IN2512302,PENDING USER RESOLVE, UPOS Integration Not Linked,"When attempting to process transactions at counter 10, the UPOS integration is missing, preventing payment processing. Users expected the system to connect to UPOS for transactions, but the integration is not set up. This issue affects all staff at counter 10, requiring manual workarounds. The expected outcome was seamless payment processing via UPOS, but the system currently lacks this functionality, causing delays.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",FINANCE-COLLECTION_ALL,CLOSED,7/9/2025 0:06,USER46,TTSH,Tan Tock Seng Hospital,6/28/25 11:38 AM,TTSH_EMER-BLK_B01_ED,Amb - Emergency Medicine,CONFIGURATION,EMAIL,3,7/9/2025 0:06
IN2512303,PENDING USER RESOLVE - SERVICE REQUEST, No counter cash desk,"When attempting to log into the NBS system using ADID credentials, users receive an 'Authentication Failed' error despite entering correct login details. The issue specifically affects ADID users, while other user groups can log in without problems. The expected outcome is successful login, but the actual result is an error message. This disrupts access to billing functions for affected users.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",FINANCE-COLLECTION_ALL,CLOSED,7/11/2025 0:04,USER90,TTSH,Tan Tock Seng Hospital,6/28/25 11:39 AM,TTSH_EMER-BLK_B01_ED,Amb - Emergency Medicine,CONFIGURATION,EMAIL,3,7/11/2025 0:04
IN3912315,PENDING USER RESOLVE, Unable to tag GPfirst insurance code [SR],"When attempting to log in to the system, users receive an 'Authentication Failed' error after entering their credentials. This issue affects multiple users across various departments. The expected outcome is successful login and access to the dashboard, but instead, users are redirected to an error page. The problem occurs consistently across multiple login attempts, preventing access to the system.","The root cause was identified as a resource exhaustion issue on one of the shared database clusters that supports multiple NBS applications. A spike in background job executions, triggered by a misconfigured report scheduler, led to unusually high CPU and I/O usage during peak working hours. System performance has returned to normal.",UAM_ALL,CLOSED,7/17/25 12:03 AM,USER80,TTSH,Tan Tock Seng Hospital,6/28/25 11:57 AM,TTSH_EMER-BLK_B01_ED,Amb - Emergency Medicine,DATA ALTERED,EMAIL,2,7/17/25 12:03 AM
