Incident Number,Incident Title,Incident Description,Incident Resolution,Resolution Team,Status,Status Update Date,Reported By,Institution,Institution Name,Reported Date,Location,Affected Person Department,Resolution Code,Source,Application Priority,Close Date
IN6651501,"Unable to login, error pops up saying 'Password incorrect'",Account was locked after too many attempts,"User contacted Ops team (exampleOpsForPBS@email.com) to unlock account, user could log in",UAM_ALL,RESOLVED,7/22/25 12:02 AM,USER59,TTSH,Tan Tock Seng Hospital,6/30/25 10:30 AM,TTSH_MC-BLK_L03_DAY-SUR-CTR,"Sur - Anaesthesio, Intsv Care & Pain Med",NO ACTION TAKEN,EMAIL,2,7/22/25 12:02 AM
IN6651502,'No authorisation to view PBS Finance Reports tab' error appears when user tries to click on Finance Reports tab,Finance user cannot access PBS Finance Reports tab as authorisation had not been given yet.,User to go to Go-Live chatbot and request for access via the Request Authorisation Form feature,LEADS_ALL,RESOLVED,7/19/25 12:03 AM,USER58,TTSH,Tan Tock Seng Hospital,6/30/25 10:50 AM,TTSH,NUR - Integrated Care Hub,NO ACTION TAKEN,PHONECALL,1,7/19/25 12:03 AM
IN6651503,Card machine (UPOS) did not trigger after clicking collect payment button in Manage Cashdesk tab,User accidentally closed startUpBridge.exe before collecting payment,"startUpBridge.exe should automatically be open upon user logging into computer, users to make sure that startUpBridge.exe is open before collecting payment. If UPOS still not triggering, close and reopen the startUpBridge.exe.",FINANCE-COLLECTION_ALL,RESOLVED,7/22/25 12:02 AM,USER82,TTSH,Tan Tock Seng Hospital,6/30/25 11:40 AM,TTSH_TB_L05_WD5C,NUR - Acute Care,NO ACTION TAKEN,PHONECALL,2,7/22/25 12:02 AM
IN6651504,Cash desk history not reflecting the payment after it was made,"User refreshed page while collecting payment, thus payment was not captured","Manual posting of payment (PSA manually type in card details in Manage Cashdesk tab in PBS), users to make sure payment has fully processed before leaving Manage Cashdesk tab",FINANCE-COLLECTION_ALL,RESOLVED,8/6/2025 0:00,USER82,TTSH,Tan Tock Seng Hospital,6/30/25 12:06 PM,TTSH,NCID - NCID Nursing,NO ACTION TAKEN,PHONECALL,2,8/6/2025 0:00
IN6651505,Unable to activate Medisave scheme,"Medisave balance showed up as zero on PBS, hence could not validate scheme. This is because user did not ask patient to sign Medical Claims Authorisation Form (MCAF)","After signing form, Medisave balance was validated on PBS and scheme could be activated.",PAYORS-CLAIMS_ALL,RESOLVED,7/10/2025 0:04,USER35,TTSH,Tan Tock Seng Hospital,6/30/25 12:13 PM,TTSH_EMER-BLK_B01_ED,Amb - Emergency Medicine,CONFIGURATION,EMAIL,2,7/10/2025 0:04
IN6651506,Unable to activate Medisave Chronic Disease Management Programme (CDMP) / MSV500700 scheme,User cannot activate scheme even though patient has diagnosis eligible for CDMP scheme. Found that chronic diagnosis is missing from PBS as diagnosis does not flow from Medical Record system to PBS for a Technical Visit,User to fill diagnosis in manually in PBS for Technical Visits.,BILLING_ALL,RESOLVED,7/22/25 12:02 AM,USER27,TTSH,Tan Tock Seng Hospital,6/30/25 12:14 PM,TTSH,NUR - Acute Care,NO ACTION TAKEN,EMAIL,2,7/22/25 12:02 AM
IN6651507,MT Band / Subsidy schemes not showing on PBS Manage Billable Event (MBE) page for patient,Connection between National Means Testing System (NMTS) and PBS was down when user was checking PBS.,"When connection between NMTS and PBS is down, user is to manually fetch subsidy information using the button on the top right corner of the MBE page. Subsidy information will automatically populate after clicking the button.",BILLING_ALL,RESOLVED,7/8/2025 0:13,USER12,TTSH,Tan Tock Seng Hospital,6/30/25 12:45 PM,NNI_NNIBLK_L02_NEURO-DIA-LAB,Neuroscience Clinics,HD_RESOLVABLE,EMAIL,3,7/8/2025 0:13
IN6651508,Slowness in loading Manage Patient Bills (MPB) tab,MPB tab took >2 minutes to load,"PBS was going through an update, hence system was slow. In such cases, users are advised to check the chatbot for PBS system status.",LEADS_ALL,RESOLVED,7/8/2025 0:13,USER68,TTSH,Tan Tock Seng Hospital,6/30/25 12:49 PM,TTSH_ATR_B01_DIA-RAD,Amb - Radiography Service,NO ACTION TAKEN,PHONECALL,2,7/8/2025 0:13
IN6651509,Medication charges not flowing from pharmacy system to PBS for patient undergoing surgery in hospital,"PBS command centre is currently withholding charges for patients in Emergency Department (ED) and Day Surgery (DS) healthcare settings, which patient is under, to avoid slowness in system. Hence why charges have not flown to PBS.",Daily batch job will run at midnight to trigger charges to PBS. Users advised to wait and check charges the next day.,BILLING_ALL,RESOLVED,7/20/25 12:00 AM,USER76,TTSH,Tan Tock Seng Hospital,6/30/25 1:00 PM,TTSH_ATR_B01_DIA-RAD,Amb - Radiography Service,CONFIGURATION,PHONECALL,2,7/20/25 12:00 AM
IN6651510,Staff benefit payor code not showing up in PBS,"Payor code QAXBYCZ not found in PBS, need code to give staff discount.",Finance needs to review payor code and submit it to be deployed in PBS for the hospital. User to report this issue using Reporting Issue feature in chatbot.,LEADS_ALL,RESOLVED,7/8/2025 0:13,USER64,TTSH,Tan Tock Seng Hospital,6/30/25 1:06 PM,TTSH_ATR_B01_DIA-RAD,Amb - Radiography Service,HD_RESOLVABLE,PHONECALL,2,7/8/2025 0:13
